Date,Price,Open,High,Low
"Jan 1, 17",1.0533,1.0532,1.0624,1.0342
"Jan 8, 17",1.0644,1.054,1.0687,1.0455
"Jan 15, 17",1.0703,1.0619,1.0722,1.0581
"Jan 22, 17",1.0699,1.0688,1.0779,1.066
"Jan 29, 17",1.0784,1.0692,1.0831,1.062
"Feb 5, 17",1.0641,1.0783,1.0803,1.0609
"Feb 12, 17",1.0614,1.0635,1.0683,1.0523
"Feb 19, 17",1.0563,1.0617,1.0636,1.0495
"Feb 26, 17",1.0623,1.0563,1.0633,1.0495
"Mar 5, 17",1.0672,1.0617,1.0702,1.0526
"Mar 12, 17",1.0738,1.0673,1.0784,1.0599
"Mar 19, 17",1.0799,1.074,1.0827,1.0719
"Mar 26, 17",1.0652,1.0799,1.0907,1.0652
"Apr 2, 17",1.059,1.066,1.0691,1.058
"Apr 9, 17",1.0612,1.0593,1.0679,1.0571
"Apr 16, 17",1.0728,1.0614,1.0779,1.0602
"Apr 23, 17",1.0897,1.0891,1.0952,1.0821
"Apr 30, 17",1.0998,1.0908,1.1002,1.0876
"May 7, 17",1.0931,1.0999,1.1025,1.0841
"May 14, 17",1.1207,1.0927,1.1214,1.0923
"May 21, 17",1.1183,1.1201,1.1268,1.1159
"May 28, 17",1.1282,1.1179,1.1287,1.111
"Jun 4, 17",1.1196,1.128,1.1286,1.1168
"Jun 11, 17",1.1198,1.1194,1.1296,1.1131
"Jun 18, 17",1.1194,1.12,1.1215,1.1119
"Jun 25, 17",1.1426,1.1202,1.1448,1.1173
"Jul 2, 17",1.1401,1.1419,1.144,1.1312
"Jul 9, 17",1.1469,1.1392,1.1491,1.1371
"Jul 16, 17",1.1663,1.1464,1.1684,1.1435
"Jul 23, 17",1.1752,1.166,1.1778,1.1613
"Jul 30, 17",1.1772,1.1739,1.1913,1.1725
"Aug 6, 17",1.1821,1.1766,1.1846,1.1687
"Aug 13, 17",1.1762,1.1806,1.184,1.1663
"Aug 20, 17",1.1926,1.175,1.1942,1.1731
"Aug 27, 17",1.1859,1.1926,1.2071,1.1823
"Sep 3, 17",1.2035,1.1859,1.2094,1.1854
"Sep 10, 17",1.1943,1.2041,1.2041,1.1838
"Sep 17, 17",1.1954,1.1949,1.2033,1.1862
"Sep 24, 17",1.1814,1.1953,1.1962,1.1717
"Oct 1, 17",1.1734,1.1817,1.1817,1.1668
"Oct 8, 17",1.1823,1.1728,1.1881,1.1717
"Oct 15, 17",1.1785,1.1826,1.186,1.1731
"Oct 22, 17",1.161,1.1773,1.1838,1.1575
"Oct 29, 17",1.1609,1.1603,1.1692,1.1594
"Nov 5, 17",1.1665,1.161,1.168,1.1554
"Nov 12, 17",1.1795,1.1666,1.1862,1.1638
"Nov 19, 17",1.193,1.1789,1.1945,1.1712
"Nov 26, 17",1.1891,1.1933,1.1962,1.1809
"Dec 3, 17",1.1764,1.1881,1.1888,1.1728
"Dec 10, 17",1.1754,1.1769,1.1864,1.1718
"Dec 17, 17",1.1859,1.1755,1.1903,1.1738
"Dec 24, 17",1.1998,1.1851,1.203,1.1843
"Dec 31, 17",1.203,1.2003,1.2091,1.1995
"Jan 7, 18",1.2187,1.2029,1.219,1.1916
"Jan 14, 18",1.2222,1.2197,1.2324,1.2165
"Jan 21, 18",1.2421,1.2268,1.2538,1.2214
"Jan 28, 18",1.2462,1.2427,1.2524,1.2334
"Feb 4, 18",1.2235,1.2457,1.2477,1.2206
"Feb 11, 18",1.2406,1.2254,1.2557,1.2235
"Feb 18, 18",1.2293,1.2409,1.2435,1.2259
"Feb 25, 18",1.2317,1.2297,1.2354,1.2153
"Mar 4, 18",1.2307,1.2324,1.2448,1.2269
"Mar 11, 18",1.2289,1.2311,1.2414,1.2261
"Mar 18, 18",1.2353,1.2284,1.239,1.2239
"Mar 25, 18",1.2323,1.2349,1.2477,1.2283
"Apr 1, 18",1.2283,1.2323,1.2346,1.2214
"Apr 8, 18",1.2331,1.2279,1.2397,1.2261
"Apr 15, 18",1.2288,1.2331,1.2415,1.225
"Apr 22, 18",1.213,1.2289,1.2292,1.2055
"Apr 29, 18",1.196,1.2125,1.2141,1.1911
"May 6, 18",1.1944,1.1953,1.198,1.1823
"May 13, 18",1.1778,1.1947,1.1999,1.1749
"May 20, 18",1.1652,1.1764,1.1831,1.1645
"May 27, 18",1.1661,1.165,1.1728,1.1506
"Jun 3, 18",1.1768,1.1657,1.1842,1.1653
"Jun 10, 18",1.1609,1.1766,1.1853,1.1543
"Jun 17, 18",1.1657,1.161,1.1677,1.1509
"Jun 24, 18",1.1685,1.1659,1.1722,1.1527
"Jul 1, 18",1.1747,1.1652,1.1769,1.1591
"Jul 8, 18",1.1685,1.1746,1.179,1.161
"Jul 15, 18",1.172,1.1677,1.1746,1.1574
"Jul 22, 18",1.1658,1.1729,1.1751,1.1621
"Jul 29, 18",1.1567,1.1659,1.1745,1.1559
"Aug 5, 18",1.1411,1.1572,1.1629,1.1384
"Aug 12, 18",1.1439,1.139,1.1447,1.1299
"Aug 19, 18",1.1623,1.1442,1.1641,1.1394
"Aug 26, 18",1.1696,1.1616,1.1733,1.1595
